E,Validation MAE,Validation R2,Test MAE,Test R2
5,0.015491860000000041,0.9216143602150548,0.01500419999999996,0.928642600162768
10,0.014119839999999986,0.9103036808194591,0.011539839999999866,0.9643143390954672
20,0.011151999999999955,0.9107105429311884,0.008123139999999956,0.9771550356932309
30,0.010144079999999979,0.9119223595562627,0.006407679999999927,0.983028896049037
60,0.008576299999999997,0.9338277829147364,0.0060508799999999295,0.9840919168632439
