E,Validation MAE,Validation R2,Test MAE,Test R2
5,0.013443995866456147,0.936426581458129,0.014736721804911115,0.9287181252880323
10,0.012852424359271131,0.9168600087295747,0.011859876036978573,0.9635902512684951
20,0.010636548321848228,0.9201974904175139,0.007119013906773446,0.9845205765253021
30,0.009009044459038655,0.923279355323277,0.0064579160003315475,0.9820009455447954
60,0.008499183651951615,0.9393118841168204,0.005615186285638245,0.9876508805138643
